hole_id,type,comp_no,process_method,pass,mass_g,mass_pct,D80_micron,Fe_pct_XRF,SiO2_pct_XRF,Al2O3_pct_XRF,TiO2_pct_XRF,Mn_pct_XRF,CaO_pct_XRF,P_pct_XRF,S_pct_XRF,MgO_pct_XRF,K2O_pct_XRF,Na2O_pct_XRF,Zn_pct_XRF,As_pct_XRF,Cl_pct_XRF,Cu_pct_XRF,Pb_pct_XRF,Ba_pct_XRF,V_pct_XRF,Cr_pct_XRF,Ni_pct_XRF,Co_pct_XRF,Sn_pct_XRF,Zr_pct_XRF,Sr_pct_XRF,Fe3O4_pct_SATMAGAN,LOI_371_pct,LOI_650_pct,LOI_1000_pct,LOI_total_pct
NSRD0799,Head, 16,HIG5 DTR,P6,NA,NA,22.952999999999999,44.47,26.85,2.817,0.162,0.218,0.351,0.031,0.068,1.84,0.913,0.076,0.007,0.001,0.006,0.001,5e-4,0.05,0.012,0.121,0.017,0.002,5e-4,0.005,0.006,47.4,-0.07,2.86,-0.2,2.59
NSRD0799,DTR Mags, 17,HIG5 DTR,P1,27.587,68.936478584636902,103.58499999999999,56.49,16.6,1.447,0.087,0.102,0.198,0.023,0.027,0.78,0.593,0.033,0.005,5e-4,0.002,0.002,0.005,0.032,0.011,0.097,0.013,0.002,0.003,0.002,0.005,69.86,-0.1,0.57,-1.24,-0.77
NSRD0799,DTR Tails, 17,HIG5 DTR,P1,12.431000000000001,31.063521415363088,79.75,15.61,56.34,5.48,0.249,0.434,0.923,0.081,0.113,3.28,2.022,0.094,0.005,0.002,0.006,0.006,5e-4,0.094,0.002,0.016,0.011,0.001,5e-4,0.002,0.009,3.51,0.36,6.69,0.84,7.89
NSRD0799,Calc Head, 17,HIG5 DTR,P1,40.018000000000001,99.999999999999986,96.181009670648194,43.791232445399565,28.944643410465293,2.6997918186815935,0.13732290469288821,0.20513089109900545,0.4232105302613824,0.04101684242091059,0.05371462841721225,1.556588035384077,1.0368977210255383,0.051948748063371485,0.005,9.659528212304463e-4,0.003242540856614523,0.003242540856614523,0.003602141536308661,0.05125938327752511,0.00820428307261732,0.07183854765355589,0.012378729571692736,0.001689364785846369,0.002223411964615922,0.002,0.006242540856614523,49.249353540906576,0.04289219851067021,2.471087510620221,-0.5938787545604476,1.9201009545704435
NSRD0799,Head, 17,HIG5 DTR,P1,NA,NA,92.54,43.89,28.51,2.713,0.137,0.212,0.437,0.041,0.054,1.59,1.034,0.052,0.004,0.001,0.004,5e-4,5e-4,0.047,0.008,0.071,0.011,0.001,5e-4,0.002,0.006,49.1,0.01,2.64,-0.67,1.98
NSRD0799,DTR Mags, 17,HIG5 DTR,P2,24.942,62.30204326322626,78.876999999999995,60.42,12.56,1.101,0.07,0.07,0.141,0.017,0.018,0.554,0.46,0.022,0.005,5e-4,0.004,0.002,0.004,0.025,0.012,0.104,0.013,0.002,0.001,0.002,0.004,78.39,-0.17,-0.18,-1.32,-1.67
NSRD0799,DTR Tails, 17,HIG5 DTR,P2,15.091999999999999,37.69795673677374,59.862000000000002,15.17,57.25,5.485,0.252,0.441,0.919,0.083,0.112,3.27,2.026,0.108,0.006,0.002,0.003,0.008,5e-4,0.096,0.002,0.018,0.011,0.001,5e-4,0.005,0.007,2.5,0.34,6.7,0.85,7.89
NSRD0799,Calc Head, 17,HIG5 DTR,P2,40.033999999999999,100,71.708733526502471,43.361674576609886,29.407216865664186,2.7536784233401606,0.13861028126092823,0.20985941949343057,0.4342901034120997,0.04188065144627068,0.05343607933256731,1.577876504970775,1.0503500024978767,0.05442024279362542,0.005376979567367737,0.001065469351051606,0.0036230204326322623,0.004261877404206424,0.0026805715142129193,0.05176554928310935,0.008230204326322625,0.07157975720637459,0.012246040865264525,0.0016230204326322629,8.115102163161314e-4,0.003130938702103212,0.005130938702103211,49.78102063246241,0.02225957935754609,2.4136194234900334,-0.5019543388120098,1.9339246640355694
NSRD0799,Head, 17,HIG5 DTR,P2,NA,NA,63.744,43.95,28.54,2.691,0.134,0.21,0.435,0.041,0.055,1.6,1.032,0.064,0.004,0.001,0.003,5e-4,5e-4,0.048,0.008,0.07,0.01,0.001,5e-4,0.002,0.005,49.6,0,2.53,-0.55,1.98
NSRD0799,DTR Mags, 17,HIG5 DTR,P3,23.771999999999998,59.339507251441546,56.725999999999999,63.3,9.25,0.816,0.061,0.046,0.102,0.012,0.014,0.392,0.344,0.029,0.005,0.001,0.002,5e-4,5e-4,0.019,0.012,0.107,0.011,0.002,0.001,5e-4,0.001,84.33,-0.22,-0.59,-1.34,-2.15
