BV_ID,hole_id,test,comp_no,process_phase,grind_P97,Fe3O4_pct_SATMAGAN,Fe_pct_XRF,SiO2_pct_XRF,Al2O3_pct_XRF,TiO2_pct_XRF,Mn_pct_XRF,CaO_pct_XRF,P_pct_XRF,S_pct_XRF,MgO_pct_XRF,K2O_pct_XRF,Na2O_pct_XRF,Zn_pct_XRF,As_pct_XRF,Cl_pct_XRF,C_pct_XRF,Pb_pct_XRF,Ba_pct_XRF,V_pct_XRF,Cr_pct_XRF,Ni_pct_XRF,Co_pct_XRF,Sn_pct_XRF,Zr_pct_XRF,Sr_pct_XRF,LOI371_pct,LOI650_pct,LOI1000_pct,LOI_total_pct,project,Cu_pct_XRF,FeO_titration
44718000046,NSRD0800,DTR,8,Tails,45,0.7,15.65,53.68,7.109,0.34,0.345,1.164,0.083,0.428,3.65,2.763,0.152,0.012,0.001,0.006,0.011,0.003,0.066,0.008,0.034,0.023,0.002,-0.001,0.008,0.011,0.64,5.89,1.05,7.58,4471,NA,NA
44718000047,NSRD0800,DTR,11,Tails,45,0.9,13.55,59.03,4.421,0.193,0.524,1.752,0.099,0.411,3.89,1.532,0.185,0.008,-0.001,0.005,0.008,0.002,0.039,0.003,0.009,0.011,0.002,-0.001,0.006,0.013,0.4,6.51,1.36,8.27,4471,NA,NA
44718000048,NSRD0800,DTR,15,Tails,45,0.9,13.03,58.94,4.256,0.18,0.544,1.975,0.123,0.229,3.66,1.786,0.19,0.006,0.001,0.005,0.009,-0.001,0.032,0.001,0.009,0.011,0.001,0.001,0.006,0.008,0.57,7.11,1.39,9.07,4471,NA,NA
44718000049,NSRD0800,DTR,4,Tails,38,0.8,13.34,61,3.202,0.133,0.68,1.859,0.13,0.071,3.28,1.304,0.153,0.006,-0.001,0.005,0.008,-0.001,0.032,-0.001,0.004,0.006,-0.001,-0.001,0.006,0.008,0.7,6.55,1.34,8.59,4471,NA,NA
44718000050,NSRD0800,DTR,5,Tails,38,0.8,14.2,56.9,5.573,0.252,0.541,1.335,0.097,0.465,3.59,2.308,0.133,0.009,-0.001,0.006,0.009,0.003,0.048,0.004,0.015,0.015,0.002,-0.001,0.007,0.014,0.52,6.58,1.05,8.15,4471,NA,NA
44718000051,NSRD0800,DTR,6,Tails,38,0.5,14.27,55.48,7.582,0.337,0.308,1.31,0.109,0.368,3.37,3.351,0.151,0.013,-0.001,0.006,0.01,0.004,0.069,0.007,0.032,0.021,0.003,0.001,0.009,0.012,0.6,5.31,0.95,6.86,4471,NA,NA
44718000052,NSRD0800,DTR,8,Tails,38,0.7,15.53,53.85,7.061,0.335,0.348,1.186,0.078,0.399,3.65,2.741,0.143,0.013,0.001,0.006,0.01,0.002,0.06,0.008,0.034,0.023,0.003,-0.001,0.009,0.01,0.65,6.01,1,7.66,4471,NA,NA
44718000053,NSRD0800,DTR,11,Tails,38,0.8,13.62,58.94,4.309,0.188,0.534,1.771,0.093,0.36,3.89,1.434,0.182,0.008,-0.001,0.005,0.008,0.002,0.038,0.002,0.009,0.011,0.002,-0.001,0.006,0.012,0.46,6.71,1.32,8.49,4471,NA,NA
44718000054,NSRD0800,DTR,15,Tails,38,0.8,13,58.98,4.185,0.179,0.547,2.025,0.129,0.231,3.63,1.765,0.197,0.008,-0.001,0.005,0.008,0.001,0.034,0.002,0.009,0.01,0.001,0.001,0.006,0.012,0.63,7.16,1.32,9.11,4471,NA,NA
44718000212,NSRD0800,R-D,4,R Feed,53,NA,32.13,41.5,2.081,0.094,0.476,1.297,0.083,0.046,2.26,0.862,0.083,0.005,-0.001,-0.001,0.004,0.004,0.026,0.003,0.018,0.008,0.001,0.001,0.004,0.008,0.21,4.12,0.54,4.87,4471,NA,NA
44718000213,NSRD0800,R-D,5,R Feed,53,NA,28.12,43.04,4.24,0.197,0.417,1.1,0.094,0.326,2.81,1.758,0.065,0.008,-0.001,-0.001,0.005,0.006,0.041,0.007,0.039,0.017,0.001,0.003,0.006,0.01,0.23,4.71,0.44,5.38,4471,NA,NA
44718000214,NSRD0800,R-D,6,R Feed,53,NA,22.51,47.31,6.484,0.295,0.267,1.15,0.097,0.307,2.94,2.944,0.096,0.011,0.001,-0.001,0.006,0.005,0.064,0.008,0.053,0.019,0.002,0.002,0.007,0.013,0.4,4.28,0.69,5.37,4471,NA,NA
44718000215,NSRD0800,R-D,8,R Feed,53,NA,22.41,46.62,6.173,0.3,0.306,1.066,0.069,0.377,3.26,2.429,0.087,0.01,0.001,-0.001,0.006,0.004,0.06,0.01,0.07,0.028,0.002,0.002,0.007,0.011,0.44,5.06,0.83,6.33,4471,NA,NA
44718000216,NSRD0800,R-D,11,R Feed,53,NA,29.01,42.89,3.192,0.146,0.383,1.284,0.082,0.261,2.88,1.135,0.103,0.006,-0.001,-0.001,0.003,0.004,0.03,0.004,0.029,0.013,0.001,-0.001,0.004,0.008,0.14,4.3,0.6,5.04,4471,NA,NA
44718000217,NSRD0800,R-D,15,R Feed,53,NA,30.89,40.83,2.995,0.134,0.378,1.391,0.084,0.154,2.56,1.305,0.114,0.006,-0.001,-0.001,0.004,0.004,0.026,0.004,0.032,0.015,0.001,-0.001,0.004,0.008,0.17,4.44,0.64,5.25,4471,NA,NA
44718000218,NSRD0800,R-D,4,R Cons,53,NA,65.92,7.178,0.318,0.025,0.056,0.083,0.013,0.006,0.245,0.165,0.021,0.006,-0.001,-0.001,0.005,0.004,0.008,0.007,0.043,0.016,0.002,-0.001,0.001,0.003,-0.41,-0.8,-1.28,-2.49,4471,NA,NA
44718000219,NSRD0800,R-D,5,R Cons,53,NA,65.59,7.058,0.514,0.044,0.048,0.087,0.013,0.024,0.312,0.205,0.019,0.008,-0.001,-0.001,0.005,0.005,0.011,0.013,0.097,0.017,0.002,0.004,0.001,0.003,-0.32,-0.87,-1.2,-2.39,4471,NA,NA
44718000220,NSRD0800,R-D,6,R Cons,53,NA,65.25,7.049,0.737,0.064,0.035,0.097,0.013,0.021,0.36,0.248,0.012,0.01,-0.001,-0.001,0.004,0.004,0.015,0.016,0.159,0.019,0.002,0.002,0.001,0.002,-0.29,-0.93,-1.19,-2.41,4471,NA,NA
44718000221,NSRD0800,R-D,8,R Cons,53,NA,66.22,5.735,0.616,0.068,0.044,0.066,0.009,0.021,0.377,0.173,0.016,0.018,-0.001,-0.001,0.004,0.003,0.01,0.02,0.263,0.019,0.002,-0.001,-0.001,0.002,-0.28,-0.78,-1.26,-2.32,4471,NA,NA
44718000222,NSRD0800,R-D,11,R Cons,53,NA,66.31,6.412,0.48,0.04,0.039,0.064,0.01,0.019,0.304,0.218,0.019,0.007,-0.001,-0.001,0.003,0.004,0.014,0.009,0.067,0.012,0.002,0.001,0.001,0.002,-0.39,-1.04,-1.19,-2.62,4471,NA,NA
44718000223,NSRD0800,R-D,15,R Cons,53,NA,66.34,6.262,0.553,0.044,0.039,0.077,0.01,0.018,0.264,0.325,0.013,0.006,-0.001,-0.001,0.003,0.004,0.014,0.01,0.068,0.015,0.003,0.001,0.001,0.003,-0.4,-1.05,-1.19,-2.64,4471,NA,NA
44718000224,NSRD0800,R-D,4,R Tail,53,NA,13.57,60.72,3.052,0.132,0.692,1.923,0.12,0.074,3.33,1.218,0.125,0.008,-0.001,-0.001,0.008,0.005,0.038,0.002,0.006,0.008,0.001,-0.001,0.003,0.014,0.53,6.56,1.58,8.67,4471,NA,NA
44718000225,NSRD0800,R-D,5,R Tail,53,NA,14.32,56.21,5.558,0.254,0.539,1.441,0.123,0.426,3.65,2.286,0.102,0.01,-0.001,-0.001,0.009,0.006,0.054,0.004,0.017,0.016,0.002,0.004,0.006,0.013,0.44,6.51,1.14,8.09,4471,NA,NA
44718000226,NSRD0800,R-D,6,R Tail,53,NA,14.21,55,7.532,0.334,0.306,1.315,0.114,0.36,3.37,3.417,0.113,0.012,-0.001,-0.001,0.009,0.006,0.073,0.007,0.035,0.021,0.002,0.005,0.006,0.01,0.53,5.07,1.08,6.68,4471,NA,NA
44718000227,NSRD0800,R-D,8,R Tail,53,NA,15.78,53.2,7.019,0.335,0.345,1.195,0.081,0.429,3.68,2.746,0.106,0.011,-0.001,0.001,0.01,0.005,0.065,0.008,0.036,0.022,0.003,0.004,0.008,0.012,0.54,5.91,1.13,7.58,4471,NA,NA
44718000228,NSRD0800,R-D,11,R Tail,53,NA,13.41,58.6,4.342,0.19,0.515,1.758,0.109,0.364,3.9,1.494,0.145,0.008,-0.001,-0.001,0.007,0.005,0.038,0.002,0.011,0.012,0.001,0.003,0.003,0.011,0.38,6.41,1.45,8.24,4471,NA,NA
44718000229,NSRD0800,R-D,15,R Tail,53,NA,13.01,58.74,4.195,0.18,0.539,2.007,0.123,0.219,3.67,1.757,0.164,0.008,-0.001,-0.001,0.008,0.004,0.035,0.002,0.01,0.011,0.001,0.002,0.003,0.012,0.43,6.98,1.59,9,4471,NA,NA
44711010001,NSRD0801,DTR,3,Feed,53,26,30.81,42.32,2.305,0.096,0.267,1.828,0.108,0.156,2.04,0.846,0.072,0.002,0.001,0.003,0.001,-0.001,0.007,0.004,0.019,0.006,-0.001,-0.001,0.003,0.008,0.26,4.52,0.86,5.64,4471,NA,NA
44711010002,NSRD0801,DTR,4,Feed,53,28.4,31.65,41.29,1.869,0.082,0.355,1.988,0.106,0.163,1.92,0.698,0.059,0.001,0.001,0.001,-0.001,-0.001,0.004,0.002,0.016,0.006,-0.001,-0.001,0.002,0.008,0.26,4.68,0.99,5.93,4471,NA,NA
