hole_id,comp_no,process_phase,mass_kg,mass_pct,Fe_pct_XRF,SiO2_pct_XRF,Al2O3_pct_XRF,TiO2_pct_XRF,Mn_pct_XRF,CaO_pct_XRF,P_pct_XRF,S_pct_XRF,MgO_pct_XRF,K2O_pct_XRF,Na2O_pct_XRF,Zn_pct_XRF,As_pct_XRF,Cl_pct_XRF,Cu_pct_XRF,Pb_pct_XRF,Ba_pct_XRF,V_pct_XRF,Cr_pct_XRF,Ni_pct_XRF,Co_pct_XRF,Sn_pct_XRF,Zr_pct_XRF,Sr_pct_XRF,Fe3O4_pct_SATMAGAN,Fe3O4_pct_MAGNASAT,LOI371_pct,LOI650_pct,LOI1000_pct,LOI_total_pct
GVRD0267,4,DMS Mags,112.55,76.320607581202964,38.35,32.54,1.1910000000000001,5.5E-2,0.48199999999999998,0.76400000000000001,0.104,9.8000000000000004E-2,1.83,0.16200000000000001,3.3000000000000002E-2,2E-3,5.0000000000000001E-4,2E-3,1E-3,5.0000000000000001E-4,5.0000000000000001E-4,1E-3,2.4E-2,2.9000000000000001E-2,5.0000000000000001E-4,5.0000000000000001E-4,1E-3,5.0000000000000001E-3,34.159999999999997,34.590000000000003,0.02,7.33,-0.15,7.2
GVRD0267,4,DMS Tails,34.92,23.679392418797047,18.79,54.52,1.024,3.2000000000000001E-2,0.44800000000000001,0.90700000000000003,0.105,0.13500000000000001,2.2200000000000002,6.3E-2,5.1999999999999998E-2,1E-3,1E-3,2E-3,5.0000000000000001E-4,5.0000000000000001E-4,5.0000000000000001E-4,5.0000000000000001E-4,1.7999999999999999E-2,2.1000000000000001E-2,5.0000000000000001E-4,5.0000000000000001E-4,1E-3,7.0000000000000001E-3,2.0499999999999998,1.62,0.25,11.8,0.73,12.78
GVRD0267,4,Calc Head,147.47,100.00000000000001,33.718310842883305,37.744730453651599,1.1514554146606091,4.9553739743676682E-2,0.47394900657760908,0.79786153115887981,0.10423679392418798,0.10676137519495493,1.9223496304333088,0.13855740150539092,3.749908455957144E-2,1.7632060758120296E-3,6.1839696209398522E-4,2E-3,8.8160303790601482E-4,5.0000000000000001E-4,5.0000000000000001E-4,8.8160303790601482E-4,2.2579236454872184E-2,2.7105648606496238E-2,5.0000000000000001E-4,5.0000000000000001E-4,1E-3,5.4735878483759418E-3,26.556547094324269,26.782904319522622,7.4462602563233213E-2,8.3884688411202291,5.8378653285413973E-2,8.5213100969688771
GVRD0267,4,Feed Assay(calc from PSD),NA,NA,33.575637778232768,38.161385728353174,1.2236278530131524,5.3063382959431402E-2,0.46392871001394209,0.84057117786422531,9.7227617069817765E-2,0.10790212251503893,1.9359230551736915,0.13624024296313628,4.0134312205680193E-2,1.8116255715776033E-3,7.1772597424122784E-4,2.3741261809353885E-3,7.9014692834927412E-4,1.0702613901157293E-3,1.3709721450369027E-3,1E-3,1.5552897130656058E-2,1.8133376232121443E-2,9.4130178322462379E-4,5.3636647264714769E-4,2.1657843165930565E-3,99.999999999999986,25.218453206196926,NA,0.16107051975781686,8.0660738834127947,0.17510632074643889,8.4022507239170494
GVRD0267,5,DMS Mags,123.35,78.233018329422208,37.1,35.07,1.579,7.3999999999999996E-2,0.39800000000000002,0.73599999999999999,8.7999999999999995E-2,0.121,1.84,0.113,1.0999999999999999E-2,3.0000000000000001E-3,1E-3,4.0000000000000001E-3,5.0000000000000001E-4,5.0000000000000001E-4,5.0000000000000001E-4,1E-3,1.0999999999999999E-2,6.0000000000000001E-3,5.0000000000000001E-4,5.0000000000000001E-4,1E-3,7.0000000000000001E-3,33.57,34.33,0.01,6.2,-0.09,6.12
GVRD0267,5,DMS Tails,34.32,21.766981670577788,18.86,54.08,1.4870000000000001,4.7E-2,0.45,1.0369999999999999,0.17,0.186,2.5099999999999998,4.2999999999999997E-2,5.2999999999999999E-2,2E-3,1E-3,2E-3,1E-3,1E-3,5.0000000000000001E-4,1E-3,2.1000000000000001E-2,2.5000000000000001E-2,5.0000000000000001E-4,5.0000000000000001E-4,3.0000000000000001E-3,8.0000000000000002E-3,2.0499999999999998,1.76,0.16,11.99,0.61,12.76
GVRD0267,5,Calc Head,157.66999999999999,100,33.129702543286605,39.207903215576835,1.5589743768630684,6.8122914948943999E-2,0.40931883046870049,0.80151861482843911,0.10584892496987378,0.13514853808587554,1.9858387771928709,9.7763112830595564E-2,2.0142132301642669E-2,2.7823301832942222E-3,1E-3,3.5646603665884439E-3,6.0883490835288894E-4,6.0883490835288894E-4,5.0000000000000001E-4,1E-3,1.3176698167057776E-2,1.0135726517409779E-2,5.0000000000000001E-4,5.0000000000000001E-4,1.4353396334115559E-3,7.2176698167057789E-3,26.70904737743388,27.240494069892812,4.2650472505866691E-2,7.4603082387264541,6.2368871694044523E-2,7.5653275829263649
GVRD0267,5,Feed Assay(calc from PSD),NA,NA,32.273890345366581,40.06935843531425,1.6371252460897694,7.1151907875861925E-2,0.41357298602111175,0.84556227184139432,0.11224594137374976,0.14480054609669471,2.0099030480505728,0.11095631226442157,1.8083071991768972E-2,1.9287699963395691E-3,1.199607245674261E-3,6.2590298869223682E-3,7.1916581751268799E-4,5.7836784361056973E-4,9.8132191015126474E-4,1.4984913089502476E-3,1.3725754592851278E-2,1.295183071002463E-2,9.0919658491704668E-4,5.0000000000000001E-4,2.1040155914563569E-3,100.00000000000001,24.541021260177484,NA,0.24484334345722733,7.3909939553427435,0.10190253361165796,7.7377398324116307
GVRD0267,6,DMS Mags,116.65,72.17100785745221,37.950000000000003,34.25,1.1080000000000001,4.9000000000000002E-2,0.48599999999999999,0.81899999999999995,0.106,6.6000000000000003E-2,1.79,0.19900000000000001,2.3E-2,3.0000000000000001E-3,5.0000000000000001E-4,4.0000000000000001E-3,5.0000000000000001E-4,5.0000000000000001E-4,4.0000000000000001E-3,1E-3,5.0000000000000001E-3,4.0000000000000001E-3,5.0000000000000001E-4,5.0000000000000001E-4,1E-3,7.0000000000000001E-3,36.44,37.21,-0.01,6.44,-0.12,6.31
GVRD0267,6,DMS Tails,44.98,27.828992142547794,17.850000000000001,54.44,2.5310000000000001,0.10100000000000001,0.45400000000000001,1.0249999999999999,0.14699999999999999,0.252,2.92,4.2000000000000003E-2,2.1000000000000001E-2,1E-3,1E-3,1E-3,5.0000000000000001E-4,5.0000000000000001E-4,5.0000000000000001E-4,2E-3,2.4E-2,1.7999999999999999E-2,5.0000000000000001E-4,5.0000000000000001E-4,3.0000000000000001E-3,7.0000000000000001E-3,1.49,1.23,0.11,10.64,0.79,11.54
